arm,time_s,target_timestamp_ns,source_timestamp_ns,source_index,age_ms,fx,fy,fz,tx,ty,tz
left,18.07,1787652128691508096,1787652128686897169,14454,4.610927,9.79161947382596,-4.83776291605422,2.9672271389903115,-0.252291599433467,-0.016904586134811384,0.5812328421743758
left,18.08,1787652128701508096,1787652128696876578,14461,4.631518,10.503104033617122,-4.3632332555521005,2.9488596177987523,-0.2633195295057859,-0.05883482527650241,0.5715183111633957
left,18.09,1787652128711508096,1787652128706924042,14470,4.584054,11.420230989463988,-4.102757679557458,2.7286294251530316,-0.2722511858639205,-0.08379695703804957,0.5604590498493276
left,18.1,1787652128721508096,1787652128717021746,14477,4.48635,12.000282516092009,-3.7588177147175985,1.52509674601371,-0.28282209266190556,-0.1531955402708733,0.5464885035971141
left,18.11,1787652128731508096,1787652128726907268,14486,4.600828,12.59951474964258,-3.446760068658415,2.1297409070063846,-0.29631524765376066,-0.23620356371046686,0.5351211198103266
left,18.12,1787652128741508096,1787652128736916505,14494,4.591591,12.303296425377507,-3.4560354873865013,1.8777051922828667,-0.30685443038022375,-0.2712867293940519,0.5241466300471798
left,18.13,1787652128751508096,1787652128747300496,14501,4.2076,12.324752892113498,-3.2408936953396745,1.6231013747072094,-0.31571196361198745,-0.2585487144740033,0.5170460541048079
left,18.14,1787652128761508096,1787652128756891185,14510,4.616911,12.043666331801779,-2.9596588646964164,2.18850740512696,-0.31507230720902074,-0.26808749616581773,0.5095008956146843
left,18.15,1787652128771508096,1787652128766952767,14516,4.555329,11.547612124426728,-2.590178233250142,2.3256067763723047,-0.30196966695362,-0.19899569449025017,0.4933145839197687
left,18.16,1787652128781508096,1787652128776924015,14524,4.584081,11.869088393318783,-2.530068677920332,2.6230866162649473,-0.2920970914500637,-0.13621468033745548,0.48321186597581156
left,18.17,1787652128791508096,1787652128786885394,14534,4.622702,12.855823275716535,-2.238577099731783,1.7238257555651577,-0.26709500245760626,-0.12179623360791825,0.4746729743407764
left,18.18,1787652128801508096,1787652128796951241,14540,4.556855,13.050662979593527,-1.8666098944555862,2.5797414778086996,-0.24493979056703397,-0.13242586322205163,0.4687696335992647
left,18.19,1787652128811508096,1787652128806961195,14548,4.546901,12.824174767827444,-2.173863311637662,2.497988627385342,-0.23778666820596783,-0.14380549016627153,0.47192693230674926
left,18.2,1787652128821508096,1787652128816924744,14556,4.583352,12.953497312686093,-2.1350075946763303,2.988338877366772,-0.23788803814454568,-0.1445166996269973,0.47448609080885107
left,18.21,1787652128831508096,1787652128827139635,14564,4.368461,13.175429925580604,-2.0335920870165345,2.179557647172663,-0.24359237597530417,-0.1302009405008701,0.4695469405483281
left,18.22,1787652128841508096,1787652128837147773,14572,4.360323,13.281929339689027,-1.7151904368689546,2.71644825033313,-0.24968757261393087,-0.07881541517912516,0.46773176485945445
left,18.23,1787652128851508096,1787652128847275269,14581,4.232827,13.747431122244793,-1.6976392938934093,2.150350308831216,-0.25030080029671137,-0.03449431461453245,0.4633860731631565
left,18.24,1787652128861508096,1787652128856911550,14588,4.596546,13.850946214984393,-1.7108456443901223,2.947087698671309,-0.2509905065527183,-0.014274559400093478,0.4649915933221852
left,18.25,1787652128871508096,1787652128866959736,14598,4.54836,12.883560625666826,-2.074831786326611,2.9758860997072447,-0.2465978569068345,-0.014602992244041824,0.47078872681633266
left,18.26,1787652128881508096,1787652128877163632,14604,4.344464,13.718541935959301,-2.0114743178108943,2.6296047244919087,-0.24898353028778436,-0.023426275954781695,0.4768863283845818
left,18.27,1787652128891508096,1787652128886943238,14614,4.564858,13.223634798084644,-1.8207723493071937,3.130391659558171,-0.25156602398147054,-0.11005545863693011,0.4785566950720491
left,18.28,1787652128901508096,1787652128896898478,14620,4.609618,13.602546787655095,-1.9176102847828114,2.606317252234689,-0.2520460349043667,-0.1571283752739454,0.47991464271775386
left,18.29,1787652128911508096,1787652128906906337,14631,4.601759,13.755731986679077,-2.240860382848762,2.4093981550356416,-0.25710207844066124,-0.17421704517310477,0.4936310154200268
